date,open,high,low,close,volume,hold,settle,品种,交易所,合约代码
2017-07-04,97.755,97.865,97.725,97.84,6945,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-05,94.92,95.265,94.905,95.235,48825,0,0.0,10年期国债期货,CFFEX,T0
2017-07-05,97.8,97.97,97.785,97.95,8642,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-06,95.295,95.465,95.23,95.35,43286,0,0.0,10年期国债期货,CFFEX,T0
2017-07-06,98.0,98.12,97.95,98.07,8866,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-07,95.25,95.435,95.105,95.115,49234,0,0.0,10年期国债期货,CFFEX,T0
2017-07-07,98.02,98.17,97.965,97.965,11850,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-10,95.15,95.3,95.05,95.095,39517,0,0.0,10年期国债期货,CFFEX,T0
2017-07-10,97.99,98.06,97.895,97.9,10920,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-11,95.075,95.35,95.06,95.19,45964,0,0.0,10年期国债期货,CFFEX,T0
2017-07-11,97.9,98.0,97.87,97.9,9802,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-12,95.28,95.48,95.19,95.27,49165,0,0.0,10年期国债期货,CFFEX,T0
2017-07-12,97.955,98.065,97.84,97.89,14933,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-13,95.375,95.575,95.31,95.405,47810,0,0.0,10年期国债期货,CFFEX,T0
2017-07-13,97.93,98.05,97.88,97.94,12407,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-14,95.35,95.4,95.25,95.395,30873,0,0.0,10年期国债期货,CFFEX,T0
2017-07-14,97.9,97.925,97.78,97.87,12516,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-17,95.44,95.66,95.35,95.41,45520,0,0.0,10年期国债期货,CFFEX,T0
2017-07-17,97.89,97.97,97.775,97.795,12769,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-18,95.3,95.3,95.03,95.135,42281,0,0.0,10年期国债期货,CFFEX,T0
2017-07-18,97.76,97.76,97.57,97.665,14751,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-19,95.2,95.28,95.07,95.1,40537,0,0.0,10年期国债期货,CFFEX,T0
2017-07-19,97.67,97.755,97.645,97.645,9958,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-20,95.18,95.375,95.165,95.34,34370,0,0.0,10年期国债期货,CFFEX,T0
2017-07-20,97.66,97.825,97.66,97.8,7132,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-21,95.38,95.44,95.195,95.22,30053,0,0.0,10年期国债期货,CFFEX,T0
2017-07-21,97.82,97.85,97.69,97.73,6080,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-24,95.255,95.355,95.225,95.335,26075,0,0.0,10年期国债期货,CFFEX,T0
2017-07-24,97.73,97.815,97.715,97.79,5582,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-25,95.335,95.385,95.085,95.12,35911,0,0.0,10年期国债期货,CFFEX,T0
2017-07-25,97.79,97.8,97.625,97.64,7773,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-26,95.01,95.09,94.85,94.85,34048,0,0.0,10年期国债期货,CFFEX,T0
2017-07-26,97.63,97.67,97.495,97.525,7748,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-27,94.95,95.09,94.755,95.05,48243,0,0.0,10年期国债期货,CFFEX,T0
2017-07-27,97.535,97.605,97.4,97.53,10691,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-28,95.04,95.07,94.905,94.96,24772,0,0.0,10年期国债期货,CFFEX,T0
2017-07-28,97.51,97.55,97.435,97.455,7878,0,0.0,5年期国债期货,CFFEX,TF0
2017-07-31,94.98,94.98,94.66,94.685,34672,0,0.0,10年期国债期货,CFFEX,T0
2017-07-31,97.43,97.485,97.3,97.34,9463,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-01,94.665,94.77,94.5,94.55,37342,0,0.0,10年期国债期货,CFFEX,T0
2017-08-01,97.315,97.35,97.16,97.215,12872,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-02,94.685,94.77,94.585,94.645,33191,0,0.0,10年期国债期货,CFFEX,T0
2017-08-02,97.245,97.35,97.23,97.255,10054,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-03,94.645,94.79,94.56,94.72,33168,0,0.0,10年期国债期货,CFFEX,T0
2017-08-03,97.26,97.33,97.225,97.29,10078,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-04,94.75,94.875,94.68,94.74,29973,0,0.0,10年期国债期货,CFFEX,T0
2017-08-04,97.285,97.425,97.285,97.34,9034,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-07,94.6,94.64,94.355,94.385,30420,0,0.0,10年期国债期货,CFFEX,T0
2017-08-07,97.305,97.305,97.13,97.15,10095,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-08,94.325,94.575,94.325,94.455,27606,0,0.0,10年期国债期货,CFFEX,T0
2017-08-08,97.12,97.245,97.105,97.15,8622,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-09,94.415,94.565,94.4,94.505,18986,0,0.0,10年期国债期货,CFFEX,T0
2017-08-09,97.235,97.255,97.015,97.05,11300,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-10,94.41,94.555,94.405,94.49,31123,0,0.0,10年期国债期货,CFFEX,T0
2017-08-10,97.08,97.16,97.07,97.16,7968,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-11,94.61,94.76,94.61,94.65,29224,0,0.0,10年期国债期货,CFFEX,T0
2017-08-11,97.22,97.39,97.215,97.295,7313,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-14,94.64,94.96,94.52,94.95,41076,0,0.0,10年期国债期货,CFFEX,T0
2017-08-14,97.45,97.65,97.41,97.625,11631,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-15,95.04,95.085,94.905,94.975,31551,0,0.0,10年期国债期货,CFFEX,T0
2017-08-15,97.66,97.715,97.565,97.615,10186,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-16,94.88,94.97,94.84,94.945,28872,0,0.0,10年期国债期货,CFFEX,T0
2017-08-16,97.57,97.615,97.52,97.545,6749,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-17,94.98,94.985,94.8,94.955,28689,0,0.0,10年期国债期货,CFFEX,T0
2017-08-17,97.545,97.57,97.47,97.535,6243,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-18,95.015,95.11,94.905,94.92,30682,0,0.0,10年期国债期货,CFFEX,T0
2017-08-18,97.555,97.645,97.53,97.535,7225,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-21,94.86,94.89,94.73,94.825,26797,0,0.0,10年期国债期货,CFFEX,T0
2017-08-21,97.495,97.525,97.435,97.495,6897,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-22,94.825,94.87,94.64,94.815,34500,0,0.0,10年期国债期货,CFFEX,T0
2017-08-22,97.49,97.52,97.41,97.505,8524,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-23,94.85,94.95,94.735,94.74,32640,0,0.0,10年期国债期货,CFFEX,T0
2017-08-23,97.525,97.645,97.5,97.53,11330,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-24,94.77,94.785,94.585,94.695,32232,0,0.0,10年期国债期货,CFFEX,T0
2017-08-24,97.53,97.58,97.435,97.49,9579,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-25,94.64,94.735,94.575,94.61,24391,0,0.0,10年期国债期货,CFFEX,T0
2017-08-25,97.465,97.515,97.425,97.43,5262,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-28,94.635,94.67,94.505,94.505,27437,0,0.0,10年期国债期货,CFFEX,T0
2017-08-28,97.42,97.47,97.35,97.355,7314,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-29,94.46,94.695,94.42,94.68,28107,0,0.0,10年期国债期货,CFFEX,T0
2017-08-29,97.35,97.485,97.32,97.455,8007,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-30,94.65,94.78,94.575,94.77,30471,0,0.0,10年期国债期货,CFFEX,T0
2017-08-30,97.46,97.515,97.385,97.505,7269,0,0.0,5年期国债期货,CFFEX,TF0
2017-08-31,94.71,94.87,94.705,94.85,27128,0,0.0,10年期国债期货,CFFEX,T0
2017-08-31,97.49,97.55,97.455,97.55,6187,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-01,94.8,94.85,94.725,94.725,20612,0,0.0,10年期国债期货,CFFEX,T0
2017-09-01,97.54,97.55,97.49,97.495,5586,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-04,94.68,94.805,94.625,94.695,25078,0,0.0,10年期国债期货,CFFEX,T0
2017-09-04,97.49,97.53,97.46,97.48,4919,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-05,94.67,94.68,94.495,94.495,32628,0,0.0,10年期国债期货,CFFEX,T0
2017-09-05,97.47,97.47,97.34,97.34,7308,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-06,94.57,94.74,94.55,94.71,32073,0,0.0,10年期国债期货,CFFEX,T0
2017-09-06,97.35,97.485,97.35,97.475,7091,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-07,94.715,95.01,94.695,94.995,35339,0,0.0,10年期国债期货,CFFEX,T0
2017-09-07,97.46,97.655,97.45,97.64,9066,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-08,95.13,95.26,95.03,95.155,38237,0,0.0,10年期国债期货,CFFEX,T0
2017-09-08,97.67,97.85,97.635,97.73,12274,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-11,95.125,95.195,95.045,95.045,26565,0,0.0,10年期国债期货,CFFEX,T0
2017-09-11,97.7,97.765,97.62,97.625,8032,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-12,95.0,95.225,94.955,95.13,34371,0,0.0,10年期国债期货,CFFEX,T0
2017-09-12,97.615,97.73,97.57,97.665,10602,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-13,95.12,95.16,94.98,94.995,29465,0,0.0,10年期国债期货,CFFEX,T0
2017-09-13,97.62,97.68,97.505,97.54,15095,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-14,95.0,95.405,94.99,95.39,46483,0,0.0,10年期国债期货,CFFEX,T0
2017-09-14,97.56,97.775,97.53,97.73,13350,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-15,95.4,95.465,95.285,95.355,29439,0,0.0,10年期国债期货,CFFEX,T0
2017-09-15,97.73,97.755,97.65,97.69,8543,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-18,95.38,95.395,95.05,95.08,36782,0,0.0,10年期国债期货,CFFEX,T0
2017-09-18,97.67,97.715,97.48,97.495,18684,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-19,95.075,95.22,95.065,95.185,24753,0,0.0,10年期国债期货,CFFEX,T0
2017-09-19,97.495,97.615,97.495,97.6,10139,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-20,95.22,95.23,95.05,95.12,27744,0,0.0,10年期国债期货,CFFEX,T0
2017-09-20,97.58,97.6,97.49,97.52,9785,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-21,95.075,95.2,94.77,94.97,35365,0,0.0,10年期国债期货,CFFEX,T0
2017-09-21,97.485,97.56,97.34,97.45,9179,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-22,94.985,95.14,94.985,95.115,22040,0,0.0,10年期国债期货,CFFEX,T0
2017-09-22,97.47,97.58,97.46,97.555,7679,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-25,95.18,95.335,95.17,95.23,27234,0,0.0,10年期国债期货,CFFEX,T0
2017-09-25,97.61,97.69,97.575,97.64,7796,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-26,95.21,95.26,95.155,95.225,19052,0,0.0,10年期国债期货,CFFEX,T0
2017-09-26,97.63,97.67,97.59,97.645,4765,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-27,95.18,95.18,95.07,95.16,24695,0,0.0,10年期国债期货,CFFEX,T0
2017-09-27,97.63,97.645,97.555,97.625,6583,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-28,95.235,95.3,95.205,95.26,22633,0,0.0,10年期国债期货,CFFEX,T0
2017-09-28,97.665,97.725,97.635,97.72,9804,0,0.0,5年期国债期货,CFFEX,TF0
2017-09-29,95.3,95.33,95.14,95.19,19494,0,95.21,10年期国债期货,CFFEX,T0
2017-09-29,97.73,97.75,97.62,97.695,6926,0,97.695,5年期国债期货,CFFEX,TF0
2017-10-10,94.92,94.995,94.845,94.935,21234,0,0.0,10年期国债期货,CFFEX,T0
