股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.601618,2474.0,-9.27905581528824e-05,0.02366520796119276,-0.10609419140607043,-0.009718261691174379,0.0,0.008778417189269997,0.09643188491352489,0.10069887040332255,5.965693051090065
sh.601628,2547.0,0.00013587709886542996,0.022854956543667287,-0.10536051565782628,-0.011893629537513571,-0.0009704027932784053,0.010563389595699947,0.09551724057740145,0.4128155169849016,3.6192768492216727
sh.601633,2522.0,0.00018904209100335578,0.027869589808844082,-0.10540093521281253,-0.01384928585879138,-0.0010978994862487538,0.011780022529360636,0.0957860303962209,0.26068079890279505,2.503919806824769
sh.601658,1344.0,0.0001943481995093469,0.015223439830455338,-0.07017095919438228,-0.008506230178854905,0.0,0.008411443719235578,0.0958817717032825,0.35417157964623885,2.899467078289088
sh.601668,2547.0,0.0001770271033739139,0.020423101321790343,-0.10569323900143819,-0.00958282476237269,0.0,0.00876623938082024,0.09593694259513409,0.1931872759102011,5.52396530356914
sh.601669,2530.0,-0.0001797662188588303,0.02447004139282115,-0.10617985204122873,-0.009780029053639606,-0.0013280922974590833,0.008412324539039251,0.09603333278268758,0.0760933352499179,5.308271089202211
sh.601688,2547.0,-3.0047514048455148e-05,0.02329810262460628,-0.10559915066671427,-0.010235974823488725,0.0,0.009491445915836134,0.0956531741482809,0.0479115529626686,4.922681573717191
sh.601689,2488.0,0.0007252638271249893,0.0335047309352429,-0.10559372461410711,-0.01810744203442052,-0.00018783756581407989,0.0176830251153536,0.09554844523313855,0.12767627452056104,1.2228324339174037
sh.601696,1295.0,0.0002491027326420975,0.027004723583713603,-0.10541448074242976,-0.011230935794747429,-0.0006538084574188434,0.008902214329134735,0.09570708395718357,0.5805091633846493,3.8068984379358404
sh.601698,1455.0,0.001143048293269265,0.03172266503689404,-0.10547286889652661,-0.014055523175283913,-0.0006347191580910138,0.013875701731433623,0.09571776081669232,0.40659770757239744,2.240991152364366
