股票代码,样本量,均值,标准差,最小值,25%,50% (中位数),75%,最大值,偏度,峰度
sh.600732,2160.0,10.83955829987037,7.334631867994645,2.42624196,5.033049615,8.80321801,13.8040099,33.8627038,1.1278139185478409,0.2756547265032361
sh.600733,2047.0,8.767567419316073,3.0637532446463656,3.71,6.58,8.05,10.15,23.21910657,1.5717282419044387,3.3509670341780065
sh.600737,2533.0,7.81922858837347,1.8927338439948274,5.09204403,6.59017279,7.38956881,8.75793756,21.17134935,2.138247650351057,7.124311320352064
sh.600739,2416.0,15.540766236858444,4.488930567997031,7.25809901,12.60890178,14.828928,17.576064,33.63398439,0.9518256074935292,1.0357416738214735
sh.600741,2520.0,15.991793591408731,3.7792097831421105,7.6279714,14.128719695000001,15.9393437,18.18654145,28.4134816,0.19119063358492863,-0.06709088927138174
sh.600745,2131.0,56.829936114594084,35.09837214405298,14.77305584,28.87325984,42.80214876,86.9255213,164.68948721,0.8674514590414134,-0.5263261594333035
sh.600754,2465.0,34.24952903690061,11.933535155219705,18.1840659,25.12044392,28.93945772,44.7575843,63.66788085,0.7698571327990537,-0.8135311335826576
sh.600760,2466.0,26.474400740470397,15.135275548492837,3.87296712,14.44049483,18.82203339,40.770097182499995,60.40855083,0.13536953301784582,-1.4847694783594676
sh.600763,2392.0,71.13881774704431,57.380185771987676,15.71947344,29.09915772,48.50847575,94.05867442499999,292.82080455,1.5569271527251942,2.0847416725100487
sh.600783,2547.0,15.71545117135061,6.569234781026128,7.5724048,12.01400192,13.21731699,17.69818756,53.24968648,2.288970473383568,6.6063665470098005
sh.600795,2484.0,2.9305637977616743,0.9880236936691325,1.5406812,2.14953845,2.57081994,3.56669292,5.70690804,0.8432917253852074,-0.29151642950867673
sh.600803,2485.0,12.619470605758552,3.5262181172742335,6.70184448,9.42029405,11.5989744,15.85740535,20.35281544,0.24374922329360302,-1.401727123909691
sh.600804,2463.0,10.398996582850183,8.135609067853903,0.14,4.39,7.11,17.17317765,45.71182121,1.2516698086403781,1.6244410847407358
sh.600809,2536.0,122.99148748771688,104.3981185994632,8.6698413,21.982304995,63.3492425,225.92439108,345.8246001,0.3117632041098391,-1.5700849482389487
sh.600816,2479.0,5.059001204457442,2.4901695980053233,1.2,3.19,4.4,6.41537385,12.03560292,0.8899907555478452,-0.03355135768718709
sh.600820,2548.0,5.620799026616955,1.480264694224954,3.869796,4.54031019,5.17545608,6.3128472,14.8377789,1.9879400168412014,6.2578133042358335
sh.600827,2513.0,11.628771335610823,3.2122836691030043,6.803601,9.0051654,11.22980935,13.4381819,26.8533966,0.8563967454648679,0.4912889311685684
sh.600832,70.0,15.575778100571428,2.6748440761974606,13.11167648,14.0482248,14.68089308,16.01348178,25.5,2.3328857643140397,5.142732552867476
