date,open,high,low,close,volume,amount,品种,交易所,基金代码
2018-11-21,101.001,101.001,101.001,101.001,300,30300,综合债指数ETF,SH,511280
2018-11-22,101.0,101.0,101.0,101.0,30,3030,综合债指数ETF,SH,511280
2018-11-23,101.0,101.0,101.0,101.0,840,84840,综合债指数ETF,SH,511280
2018-11-28,102.0,102.0,102.0,102.0,800,81600,综合债指数ETF,SH,511280
2018-11-29,101.032,101.032,101.032,101.032,60,6062,综合债指数ETF,SH,511280
2018-12-03,100.0,102.0,100.0,101.4,550,55620,综合债指数ETF,SH,511280
2018-12-05,101.998,101.998,101.121,101.121,110,11211,综合债指数ETF,SH,511280
2018-12-07,102.0,104.3,102.0,103.438,160,16550,综合债指数ETF,SH,511280
2018-12-10,101.301,101.301,101.301,101.301,10,1013,综合债指数ETF,SH,511280
2018-12-11,101.402,101.411,101.402,101.404,290,29407,综合债指数ETF,SH,511280
2018-12-12,101.401,102.5,101.401,102.5,210,21514,综合债指数ETF,SH,511280
2018-12-13,101.401,101.401,101.401,101.401,200,20280,综合债指数ETF,SH,511280
2018-12-14,101.401,101.401,101.401,101.401,100,10140,综合债指数ETF,SH,511280
2018-12-17,101.4,101.4,101.4,101.4,310,31434,综合债指数ETF,SH,511280
2018-12-18,102.0,108.0,101.4,101.4,400,41220,综合债指数ETF,SH,511280
2018-12-20,101.0,101.0,101.0,101.0,10,1010,综合债指数ETF,SH,511280
2018-12-21,101.0,101.0,101.0,101.0,90,9090,综合债指数ETF,SH,511280
2018-12-27,101.17,101.17,90.9,100.0,300,29207,综合债指数ETF,SH,511280
2018-12-28,99.0,102.0,99.0,100.1,600,60110,综合债指数ETF,SH,511280
2019-01-02,101.17,101.17,101.0,101.0,220,22237,综合债指数ETF,SH,511280
2019-01-03,100.0,100.0,100.0,100.0,100,10000,综合债指数ETF,SH,511280
2019-01-04,100.1,100.2,100.1,100.2,110,11012,综合债指数ETF,SH,511280
2019-01-07,101.4,101.4,100.6,101.4,390,39472,综合债指数ETF,SH,511280
2019-01-09,100.001,100.001,100.001,100.001,20,2000,综合债指数ETF,SH,511280
2019-01-11,101.8,101.8,101.799,101.799,400,40720,综合债指数ETF,SH,511280
2019-01-14,102.28,103.5,101.3,101.3,1850,189925,综合债指数ETF,SH,511280
2019-01-15,102.998,104.987,101.0,104.0,23990,2465262,综合债指数ETF,SH,511280
2019-01-16,103.0,103.996,102.95,103.0,16140,1662810,综合债指数ETF,SH,511280
2019-01-17,103.0,103.002,102.999,103.002,14230,1465691,综合债指数ETF,SH,511280
2019-01-18,103.0,103.001,103.0,103.0,300,30900,综合债指数ETF,SH,511280
2019-01-21,103.0,103.2,103.0,103.2,800,82538,综合债指数ETF,SH,511280
2019-01-23,103.001,103.001,103.001,103.001,110,11330,综合债指数ETF,SH,511280
2019-01-24,103.5,103.5,103.0,103.001,4390,454170,综合债指数ETF,SH,511280
2019-01-25,103.497,103.497,103.497,103.497,100,10350,综合债指数ETF,SH,511280
2019-01-28,113.002,113.002,103.009,103.009,150,16451,综合债指数ETF,SH,511280
2019-01-31,102.502,102.502,102.502,102.502,20,2050,综合债指数ETF,SH,511280
2019-02-11,103.001,103.3,102.701,102.701,600,61801,综合债指数ETF,SH,511280
2019-02-13,102.702,103.0,102.702,103.0,430,44257,综合债指数ETF,SH,511280
2019-02-14,102.801,102.999,102.801,102.999,190,19552,综合债指数ETF,SH,511280
2019-02-15,102.501,102.502,102.501,102.502,460,47150,综合债指数ETF,SH,511280
2019-02-18,102.501,103.999,102.0,103.999,3750,385637,综合债指数ETF,SH,511280
2019-02-21,103.998,103.998,103.998,103.998,100,10400,综合债指数ETF,SH,511280
2019-02-26,103.998,103.998,93.599,93.991,600,58278,综合债指数ETF,SH,511280
2019-02-27,102.501,102.502,102.501,102.502,60,6150,综合债指数ETF,SH,511280
2019-02-28,102.502,102.6,102.502,102.502,180,18456,综合债指数ETF,SH,511280
2019-03-01,102.649,103.0,102.649,102.801,270,27769,综合债指数ETF,SH,511280
2019-03-04,102.801,102.801,102.0,102.0,1150,117663,综合债指数ETF,SH,511280
2019-03-05,101.901,102.0,101.501,102.0,1530,155523,综合债指数ETF,SH,511280
2019-03-06,101.7,111.0,101.119,101.98,1800,184013,综合债指数ETF,SH,511280
2019-03-07,101.98,101.98,101.98,101.98,10,1020,综合债指数ETF,SH,511280
2019-03-08,100.982,103.0,100.982,102.998,3540,361918,综合债指数ETF,SH,511280
2019-03-11,103.199,104.655,102.5,104.655,2710,280326,综合债指数ETF,SH,511280
2019-03-12,103.501,104.655,103.501,104.654,420,43828,综合债指数ETF,SH,511280
2019-03-13,103.501,103.6,103.501,103.6,760,78716,综合债指数ETF,SH,511280
2019-03-14,103.601,104.0,103.601,104.0,500,51900,综合债指数ETF,SH,511280
2019-03-15,104.101,104.999,104.101,104.998,1970,205528,综合债指数ETF,SH,511280
2019-03-19,104.899,104.9,104.899,104.9,1290,135321,综合债指数ETF,SH,511280
2019-03-22,102.001,102.001,102.001,102.001,20,2040,综合债指数ETF,SH,511280
2019-04-01,102.001,103.001,102.001,103.001,40,4110,综合债指数ETF,SH,511280
2019-04-02,103.001,103.995,102.8,102.9,810,83608,综合债指数ETF,SH,511280
2019-04-03,102.5,104.0,102.01,102.603,630,64762,综合债指数ETF,SH,511280
2019-04-04,102.997,102.997,102.997,102.997,100,10300,综合债指数ETF,SH,511280
2019-04-08,102.996,102.996,102.799,102.799,300,30860,综合债指数ETF,SH,511280
2019-04-09,102.989,103.98,102.989,103.826,900,93443,综合债指数ETF,SH,511280
2019-04-10,102.01,103.3,102.01,103.3,120,12370,综合债指数ETF,SH,511280
2019-04-12,102.0,102.201,102.0,102.201,110,11222,综合债指数ETF,SH,511280
2019-04-17,102.2,102.996,102.2,102.2,16100,1645500,综合债指数ETF,SH,511280
2019-04-18,100.001,102.21,100.001,102.2,15850,1618855,综合债指数ETF,SH,511280
2019-04-19,101.003,101.003,101.003,101.003,100,10100,综合债指数ETF,SH,511280
2019-04-23,101.153,101.155,101.153,101.155,430,43497,综合债指数ETF,SH,511280
2019-04-24,101.305,101.305,101.15,101.15,200,20246,综合债指数ETF,SH,511280
2019-04-25,101.15,102.0,101.15,102.0,290,29419,综合债指数ETF,SH,511280
2019-04-26,101.98,101.98,101.0,101.0,200,20298,综合债指数ETF,SH,511280
2019-04-30,100.001,100.001,100.0,100.001,130,13000,综合债指数ETF,SH,511280
2019-05-06,100.001,100.001,100.001,100.001,5440,544005,综合债指数ETF,SH,511280
2019-05-08,100.7,101.99,100.008,101.3,440,44578,综合债指数ETF,SH,511280
2019-05-13,101.7,101.7,100.701,101.7,240,24388,综合债指数ETF,SH,511280
2019-05-15,100.348,100.348,100.344,100.347,120,12042,综合债指数ETF,SH,511280
2019-05-21,101.008,101.008,101.008,101.008,100,10101,综合债指数ETF,SH,511280
2019-05-22,101.998,102.0,101.998,101.999,400,40800,综合债指数ETF,SH,511280
2019-05-23,102.01,102.01,102.01,102.01,100,10201,综合债指数ETF,SH,511280
2019-05-29,102.0,102.0,102.0,102.0,200,20400,综合债指数ETF,SH,511280
2019-05-30,100.001,102.5,100.001,102.5,500,50570,综合债指数ETF,SH,511280
2019-06-03,100.016,100.016,100.016,100.016,100,10002,综合债指数ETF,SH,511280
2019-06-04,102.0,103.0,100.106,100.106,300,30511,综合债指数ETF,SH,511280
2019-06-05,102.0,102.0,102.0,102.0,100,10200,综合债指数ETF,SH,511280
2019-06-10,101.001,101.001,101.001,101.001,100,10100,综合债指数ETF,SH,511280
2019-06-11,100.203,100.203,100.203,100.203,10,1002,综合债指数ETF,SH,511280
2019-06-13,100.203,100.203,100.203,100.203,100,10020,综合债指数ETF,SH,511280
2019-06-19,100.203,100.203,100.203,100.203,10,1002,综合债指数ETF,SH,511280
2019-06-20,103.0,103.0,100.3,101.35,510,51618,综合债指数ETF,SH,511280
2019-07-01,100.4,100.4,100.4,100.4,100,10040,综合债指数ETF,SH,511280
2019-07-02,100.431,100.431,100.431,100.431,100,10043,综合债指数ETF,SH,511280
2019-07-04,100.431,101.998,100.431,101.998,300,30443,综合债指数ETF,SH,511280
2019-07-12,100.06,100.06,100.06,100.06,10,1001,综合债指数ETF,SH,511280
2019-07-15,100.901,100.901,100.901,100.901,30,3027,综合债指数ETF,SH,511280
2019-07-16,100.601,100.601,100.601,100.601,100,10060,综合债指数ETF,SH,511280
2019-07-19,100.88,101.8,100.02,100.02,230,23269,综合债指数ETF,SH,511280
2019-07-23,100.6,101.6,100.6,100.627,210,21229,综合债指数ETF,SH,511280
2019-07-24,101.59,101.6,101.589,101.594,600,60955,综合债指数ETF,SH,511280
2019-07-26,101.0,101.001,101.0,101.001,400,40400,综合债指数ETF,SH,511280
2019-07-29,101.5,101.992,101.5,101.992,500,50926,综合债指数ETF,SH,511280
2019-07-30,101.506,101.506,101.506,101.506,100,10151,综合债指数ETF,SH,511280
2019-07-31,101.506,101.506,101.5,101.5,110,11166,综合债指数ETF,SH,511280
2019-08-01,101.5,101.5,101.5,101.5,100,10150,综合债指数ETF,SH,511280
2019-08-05,101.887,101.887,101.887,101.887,100,10189,综合债指数ETF,SH,511280
