,code,code_name,first_appear_date
342,sh.603993,洛阳钼业,2015-01-01
343,sh.605117,德业股份,2023-07-01
344,sh.605499,东鹏饮料,2022-07-01
345,sh.688005,容百科技,2022-07-01
346,sh.688008,澜起科技,2021-01-01
347,sh.688009,中国通号,2021-01-01
348,sh.688012,中微公司,2021-01-01
349,sh.688036,传音控股,2021-01-01
350,sh.688041,海光信息,2024-01-01
351,sh.688065,凯赛生物,2022-07-01
352,sh.688082,盛美上海,2024-07-01
353,sh.688111,金山办公,2022-01-01
354,sh.688126,沪硅产业,2022-01-01
355,sh.688169,石头科技,2022-01-01
356,sh.688187,时代电气,2023-07-01
357,sh.688223,晶科能源,2023-07-01
358,sh.688256,寒武纪,2024-01-01
359,sh.688271,联影医疗,2024-01-01
360,sh.688303,大全能源,2023-07-01
361,sh.688363,华熙生物,2022-01-01
362,sh.688396,华润微,2022-01-01
363,sh.688472,阿特斯,2025-01-01
364,sh.688506,百利天恒,2025-01-01
365,sh.688561,奇安信,2022-07-01
366,sh.688599,天合光能,2022-07-01
367,sh.688981,中芯国际,2022-07-01
368,sz.000001,平安银行,2015-01-01
369,sz.000002,万科A,2015-01-01
370,sz.000008,神州高铁,2017-01-01
371,sz.000009,中国宝安,2015-01-01
372,sz.000024,招商地产,2015-01-01
373,sz.000027,深圳能源,2015-01-01
374,sz.000039,中集集团,2015-01-01
375,sz.000046,泛海控股,2015-07-01
376,sz.000060,中金岭南,2015-01-01
377,sz.000061,农产品,2015-01-01
378,sz.000063,中兴通讯,2015-01-01
379,sz.000066,中国长城,2020-07-01
380,sz.000069,华侨城A,2015-01-01
381,sz.000100,TCL集团,2015-01-01
382,sz.000156,华数传媒,2015-01-01
383,sz.000157,中联重科,2015-01-01
384,sz.000166,申万宏源,2015-07-01
385,sz.000301,东方盛虹,2022-07-01
386,sz.000333,美的集团,2015-01-01
387,sz.000338,潍柴动力,2015-01-01
388,sz.000400,许继电气,2015-01-01
389,sz.000401,冀东水泥,2015-01-01
390,sz.000402,金融街,2015-01-01
391,sz.000408,藏格控股,2019-01-01
392,sz.000413,东旭光电,2015-01-01
393,sz.000415,渤海金控,2016-01-01
394,sz.000423,东阿阿胶,2015-01-01
395,sz.000425,徐工机械,2015-01-01
396,sz.000503,国新健康,2015-01-01
397,sz.000536,华映科技,2015-01-01
398,sz.000538,云南白药,2015-01-01
399,sz.000539,粤电力A,2015-07-01
400,sz.000540,中天金融,2016-01-01
401,sz.000553,沙隆达A,2019-01-01
402,sz.000555,神州信息,2017-01-01
403,sz.000559,万向钱潮,2015-01-01
404,sz.000562,宏源证券,2015-01-01
405,sz.000568,泸州老窖,2015-01-01
406,sz.000581,威孚高科,2015-01-01
407,sz.000596,古井贡酒,2019-07-01
408,sz.000598,兴蓉环境,2015-01-01
409,sz.000617,中油资本,2023-07-01
410,sz.000623,吉林敖东,2015-01-01
411,sz.000625,长安汽车,2015-01-01
412,sz.000627,天茂集团,2017-01-01
413,sz.000629,攀钢钒钛,2015-01-01
414,sz.000630,铜陵有色,2015-01-01
415,sz.000651,格力电器,2015-01-01
416,sz.000656,金科股份,2019-07-01
417,sz.000661,长春高新,2019-01-01
418,sz.000671,阳光城,2017-01-01
419,sz.000686,东北证券,2015-01-01
420,sz.000703,恒逸石化,2019-01-01
421,sz.000708,中信特钢,2020-07-01
422,sz.000709,河钢股份,2015-01-01
423,sz.000712,锦龙股份,2015-07-01
424,sz.000718,苏宁环球,2017-01-01
425,sz.000723,美锦能源,2018-01-01
426,sz.000725,京东方A,2015-01-01
427,sz.000728,国元证券,2015-01-01
428,sz.000729,燕京啤酒,2015-01-01
429,sz.000733,振华科技,2023-07-01
430,sz.000738,航发控制,2015-07-01
431,sz.000750,国海证券,2015-01-01
432,sz.000768,中航飞机,2015-01-01
433,sz.000776,广发证券,2015-01-01
434,sz.000778,新兴铸管,2015-01-01
435,sz.000783,长江证券,2015-01-01
436,sz.000786,北新建材,2018-07-01
437,sz.000792,盐湖股份,2015-01-01
438,sz.000793,华闻传媒,2015-01-01
439,sz.000800,一汽轿车,2015-01-01
440,sz.000807,云铝股份,2024-07-01
441,sz.000825,太钢不锈,2015-01-01
442,sz.000826,启迪桑德,2015-01-01
443,sz.000831,五矿稀土,2015-01-01
444,sz.000839,中信国安,2015-01-01
445,sz.000858,五粮液,2015-01-01
446,sz.000860,顺鑫农业,2020-07-01
447,sz.000869,张裕A,2015-01-01
448,sz.000876,新希望,2015-01-01
449,sz.000877,天山股份,2022-07-01
450,sz.000878,云南铜业,2015-01-01
451,sz.000883,湖北能源,2015-01-01
452,sz.000895,双汇发展,2015-01-01
453,sz.000898,鞍钢股份,2015-01-01
454,sz.000917,电广传媒,2015-01-01
455,sz.000937,冀中能源,2015-01-01
456,sz.000938,紫光股份,2017-01-01
457,sz.000959,首钢股份,2017-07-01
458,sz.000960,锡业股份,2015-01-01
459,sz.000961,中南建设,2017-07-01
460,sz.000963,华东医药,2015-01-01
461,sz.000970,中科三环,2015-01-01
462,sz.000975,山金国际,2025-01-01
463,sz.000977,浪潮信息,2016-07-01
464,sz.000983,西山煤电,2015-01-01
465,sz.000999,华润三九,2015-01-01
466,sz.001289,龙源电力,2022-07-01
467,sz.001965,招商公路,2018-07-01
468,sz.001979,招商蛇口,2016-07-01
469,sz.002001,新和成,2015-01-01
470,sz.002007,华兰生物,2015-01-01
471,sz.002008,大族激光,2015-01-01
472,sz.002010,传化智联,2019-07-01
473,sz.002024,苏宁易购,2015-01-01
474,sz.002027,分众传媒,2016-07-01
475,sz.002028,思源电气,2025-01-01
476,sz.002032,苏泊尔,2019-01-01
477,sz.002038,双鹭药业,2015-01-01
478,sz.002044,美年健康,2017-07-01
479,sz.002049,紫光国微,2017-01-01
480,sz.002050,三花智控,2018-07-01
481,sz.002051,中工国际,2015-01-01
482,sz.002064,华峰化学,2022-07-01
483,sz.002065,东华软件,2015-01-01
484,sz.002074,国轩高科,2017-01-01
485,sz.002081,金螳螂,2015-01-01
486,sz.002085,万丰奥威,2017-01-01
487,sz.002120,韵达股份,2019-01-01
488,sz.002129,中环股份,2015-01-01
489,sz.002131,利欧股份,2017-01-01
490,sz.002142,宁波银行,2015-01-01
491,sz.002146,荣盛发展,2015-01-01
492,sz.002152,广电运通,2016-07-01
493,sz.002153,石基信息,2015-01-01
494,sz.002157,正邦科技,2020-07-01
495,sz.002174,游族网络,2017-01-01
496,sz.002179,中航光电,2019-01-01
497,sz.002180,纳思达,2023-07-01
498,sz.002183,怡亚通,2016-07-01
499,sz.002195,二三四五,2016-01-01
500,sz.002202,金风科技,2015-01-01
501,sz.002230,科大讯飞,2015-01-01
502,sz.002236,大华股份,2015-01-01
503,sz.002241,歌尔股份,2015-01-01
504,sz.002252,上海莱士,2015-01-01
505,sz.002271,东方雨虹,2019-01-01
506,sz.002292,奥飞娱乐,2015-01-01
507,sz.002294,信立泰,2015-01-01
508,sz.002299,圣农发展,2017-01-01
509,sz.002304,洋河股份,2015-01-01
510,sz.002310,东方园林,2015-01-01
511,sz.002311,海大集团,2019-01-01
512,sz.002344,海宁皮城,2015-01-01
513,sz.002352,顺丰控股,2017-07-01
514,sz.002353,杰瑞股份,2015-01-01
515,sz.002371,北方华创,2020-07-01
516,sz.002375,亚厦股份,2015-01-01
517,sz.002384,东山精密,2021-01-01
518,sz.002385,大北农,2015-01-01
519,sz.002399,海普瑞,2015-01-01
520,sz.002400,省广集团,2015-01-01
521,sz.002410,广联达,2015-01-01
522,sz.002411,必康股份,2017-07-01
523,sz.002414,高德红外,2021-01-01
524,sz.002415,海康威视,2015-01-01
525,sz.002416,爱施德,2015-01-01
526,sz.002422,科伦药业,2015-01-01
527,sz.002424,贵州百灵,2016-07-01
528,sz.002426,胜利精密,2017-01-01
529,sz.002429,兆驰股份,2015-01-01
530,sz.002450,康得新,2015-01-01
531,sz.002456,欧菲科技,2015-01-01
532,sz.002459,晶澳科技,2022-07-01
533,sz.002460,赣锋锂业,2018-01-01
534,sz.002463,沪电股份,2020-07-01
535,sz.002465,海格通信,2015-01-01
536,sz.002466,天齐锂业,2017-01-01
537,sz.002468,申通快递,2018-01-01
538,sz.002470,金正大,2015-01-01
539,sz.002475,立讯精密,2015-01-01
540,sz.002493,荣盛石化,2018-07-01
541,sz.002500,山西证券,2015-01-01
542,sz.002508,老板电器,2017-07-01
543,sz.002555,三七互娱,2017-07-01
544,sz.002558,巨人网络,2017-07-01
545,sz.002568,百润股份,2016-07-01
546,sz.002570,*ST因美,2015-01-01
547,sz.002572,索菲亚,2018-01-01
548,sz.002594,比亚迪,2015-01-01
549,sz.002600,领益智造,2021-01-01
550,sz.002601,龙蟒佰利,2018-01-01
551,sz.002602,世纪华通,2017-07-01
552,sz.002603,以岭药业,2015-01-01
553,sz.002607,中公教育,2020-01-01
554,sz.002608,江苏国信,2018-01-01
555,sz.002624,完美世界,2018-01-01
556,sz.002625,光启技术,2018-07-01
557,sz.002648,卫星化学,2022-07-01
558,sz.002653,海思科,2015-01-01
559,sz.002673,西部证券,2015-01-01
560,sz.002709,天赐材料,2022-07-01
561,sz.002714,牧原股份,2017-01-01
562,sz.002736,国信证券,2015-07-01
563,sz.002739,万达电影,2016-01-01
564,sz.002756,永兴材料,2023-07-01
565,sz.002773,康弘药业,2019-01-01
566,sz.002791,坚朗五金,2022-07-01
567,sz.002797,第一创业,2017-01-01
568,sz.002812,恩捷股份,2021-01-01
569,sz.002821,凯莱英,2021-01-01
570,sz.002831,裕同科技,2017-07-01
571,sz.002839,张家港行,2017-07-01
572,sz.002841,视源股份,2017-07-01
573,sz.002916,深南电路,2020-01-01
574,sz.002920,德赛西威,2022-07-01
575,sz.002925,盈趣科技,2018-07-01
576,sz.002938,鹏鼎控股,2019-07-01
577,sz.002939,长城证券,2019-07-01
578,sz.002945,华林证券,2019-07-01
579,sz.002958,青农商行,2020-01-01
580,sz.003816,中国广核,2020-07-01
581,sz.300002,神州泰岳,2015-07-01
582,sz.300003,乐普医疗,2015-07-01
583,sz.300014,亿纬锂能,2020-07-01
584,sz.300015,爱尔眼科,2015-01-01
585,sz.300017,网宿科技,2015-01-01
586,sz.300024,机器人,2015-01-01
587,sz.300027,华谊兄弟,2015-01-01
